Restaurant_name,Restaurant Location,Menu,flag
Bacchus Kitchen,Coppell,"Bacchus Continental ,Smoked Salmon Omelet,Smoked Salmon Omelet,Coconut Tahini Muesli,Egg White Omelet,Bacchus Egg Toast,Shakshuka,Lebanese Baked Eggs,French Toast,Bacchus Parfait",America
Fogo de Chao,Coppell,"Picanha (Top Sirloin), Jumbo Shrimp Wrapped in Jalape¤o and Bacon, Ribeye, Picanha (Top Sirloin) with Garlic, Bacon Wrapped Jalape¤os, Family Style Sides, Soup of the Day, Farofa, Sauces, Cheese Bread",Brazil
Mio Nonno Trattoriaÿ,Coppell,"Calamari,Salumi Italiani,Arancini,,Polenta,Polpettine,Gamberi Arrabiata,Bruschetta,Lasagna,Melanzane Parmigiana,Al Amoda,Pollo Margherita,Gnocchi,Primavera,Aragosta,Paesano,Puttanesca,Picatta",Italy
Rainforest Cafe,Coppell,"Seasonal Oysters,Wurst Taste,Crawfish Ranchinis,Fair Fries,Bavarian Pretzel,Snake Bites,Crab Stuffed Avocado,Shotgun Shrimp,Kinder Burger,",Germany
Jinbehÿ,Coppell,"Ddukbokki,Mandoo,Cab Rangoon,Miso Soup,Chicken Soup,Kimchi Pancake,Seafood pancake,Chicken bento,Chicken bowl,Katsu Chicken Bowl,Spicy Squid Bowl, Shrimp sautee bowl",Korean
Mesa Mexican Cuisine,Coppell,"Chicken Tortilla Soup,Fajita Salad,Mesa Chopped Salad,Vegetable Salad,Mexican Wedge,Coctel de Camarones,Mesa Fajita Nachos,,Queso Fundido,Mesa Sample Platter,Juanita Plate,Churros,Bean Burrito,Huevos Rancheros",Mexico
Stellini Trattoria,Coppell,"Calamari Steak,Wagyu Beef Carpaccio,Meatballs,Coccoli,Lobster Bisque,Lobster Ravioli,Cacio e Pepe,Seven Layer Lasagna,Braised Pork Shank,Mafaldine,Sausage Campanelle,Amanti della Carne,Seven Layer Lasagna",Italy
Mi Dia From Scratch,Coppell,"Esquites,Chicharones,Chipotle Bacon Quesadillas,MI Dia Tamales,,Sopes de Carnitas,Tortilla Soup,Hatch Tacos,Huevos Rancheros,,Xmas Burrito,New Mexican Guiso,Chimichanga,Chipotle Ribs,Pollo Agave,Tequila Pesto Enchiladas",Mexico
Toulouse,Coppell,"Zucchini Squash Chips,Assorted Deviled Eggs,Petite Gougeres,Lobster Bisque,Seared Tuna Salad,Chopped Salade,Fritures de Fruits de Mer,Escargots Persillade,Duck ConfitQuiche LorraineBeef BourguignonLamb Shank NavarinToulouse Burger",France
Redrock Canyon Grill,Coppell,"Vegetable Eggroll,Chicken Eggroll,Cucumber Salad,House Soup Dumpling,Pan-fried Buns,Vegetable Dumpling,Pork & Shrimp Dumpling,Shrimp Shumai,Vegetable Wonton,Pork Belly Gua Bao",China
Rakhi's Kitchen,Coppell,"Plain Naan,Butter Naan,Garlic Naan,Paneer kulcha,Methi paratha,Paneer Paratha,Chicken Biriyani, Egg Biriyani,Vegetable Pulao, Momo ,Samosa,Chicken Samosa,Vegetable cutlet, Kolkata Aloo Roll,Kolkata Paneer Roll,Gulab Jamun,Kala Jamun,Rasgulla",India
Carrabba's Italian Grillÿ,The Colony,"Seasonal Oysters,Wurst Taste,Crawfish Ranchinis,Fair Fries,Bavarian Pretzel,Snake Bites,Crab Stuffed Avocado,Shotgun Shrimp,Kinder Burger,",Germany
Farm + Feed,The Colony,"WONTON SOUP,the KOI way soup,CHICKEN VEGGIE EGG ROLL,POT STICKER,PORK FRIED WONTON,cheese wonton,CHO CHO BEEF,VEGETABLE SPRING ROLL,sechuan chilli wonton,atomic chicken wing,INDONESIA SOFT NODDLE",Indonesia
Kinzo,The Colony,"Crab Tartar, Toro taratar cavier, Oyster,Oyster shooter,Seaweed Salad,Chilean SeaBass, Shishito pepper,Haru,Natsu,Aki ,Fuyu,Kinmedia,kasugodai,Seafood Ceviche",Japan
The Rice Bar,The Colony,"Ddukbokki,Mandoo,Cab Rangoon,Miso Soup,Chicken Soup,Kimchi Pancake,Seafood pancake,Chicken bento,Chicken bowl,Katsu Chicken Bowl,Spicy Squid Bowl, Shrimp sautee bowl",Korean
La Parisienne French Bistro,The Colony,"Classic Avocado Toast,Ham & Cheese,Banana Foster,Chocolate Praline,Jambon Cru Tomato Bruschetta,Charcuterie,Seared Salmon,Spicy Rigatoni,Warm Brie Baguette,Wedge Salad,Lobster Bisque,French Dip,Parisienne Burger,Vegetarian Bourguignon",France
Desi District Little Elm,The Colony,",Paneer 65,Veg Manchurian,,Gobi ManchurianChili Paneer,Chili Egg,Mirchi Bhaji Plain,Punugulu,Mirchi Bhaji with Onions,Samosa Vegetarian,Chole Batura,,Alu Tikki Chat,Pani Puri,Samosa Pav,,Vada Pav,Egg Dosa,,Spring Dosa,Onion Masala Dosa,Sambar Idly,Medhu Vada",India
Hoff?s Steaks And Steins,The Colony,"Seasonal Oysters,Wurst Taste,Crawfish Ranchinis,Fair Fries,Bavarian Pretzel,Snake Bites,Crab Stuffed Avocado,Shotgun Shrimp,Kinder Burger,",Germany
Bulla Gastrobar,The Colony,"Serrano Ham,Coppa,Chorizo de Cantimpalo,Lomo Iberico,Salchichon,
Idiazabal,Tetilla,Serrano Ham,Mahon,Manchego,
Murcia al Vino,
Brisket Montaditos,Manchego,Mahon,
Idiazabal",Spain
Secret Recipe,The Colony,"Barley,Calamansi and Sour Plum,Longan,Luo Han Guo Tea,Milo and Tea Tarik,Singapore Milo Dinasour, Soy Milk and Jelly,Tea Tarik,Edamame,Mandarin Ribs,Sambal Fried Rice",Indonesia
Saucy's Thai & Pho,The Colony,"Chicken Satay,Fried Calamari,Thai Salad,Yum Woon Sen,Papaya Salad,Larb Kai,Nam Tok,Tom Yum,Thai Ginger,Teriyaki",Thailand
Kitchen Master,The Colony,"Vegetable Eggroll,Chicken Eggroll,Cucumber Salad,House Soup Dumpling,Pan-fried Buns,Vegetable Dumpling,Pork & Shrimp Dumpling,Shrimp Shumai,Vegetable Wonton,Pork Belly Gua Bao",China
Pho Mac,The Colony,"Vietnamese Baguette,Beef Noodle Soup Large,Vegetarian Noodle Soup Large,Shrimp Noodle Soup Large,Cup of Broth,Vietnamese Rice Crepe,Vietnamese Coffee,Noodle Soup Meat Large",Vietnam
Zag Afro Fusion Cuisine,The Colony,"Jollof Rice,BeefSuya,Charcoal Chicken, Efo riro,Egusi stew,Bobotie,Ugali,Bunny chow, Harira,Braai,Tajine,NhyamaChoma,Couscous,Shakshouka,Chakalaka,Injera,FulMedames,Kifto,Boerewors,Matoke,Biltong",Africa
Kona Grill,Plano,"Ddukbokki,Mandoo,Cab Rangoon,Miso Soup,Chicken Soup,Kimchi Pancake,Seafood pancake,Chicken bento,Chicken bowl,Katsu Chicken Bowl,Spicy Squid Bowl, Shrimp sautee bowl",Korean
BAR-Ranch Steak Company,Plano,"Picanha (Top Sirloin), Jumbo Shrimp Wrapped in Jalape¤o and Bacon, Ribeye, Picanha (Top Sirloin) with Garlic, Bacon Wrapped Jalape¤os, Family Style Sides, Soup of the Day, Farofa, Sauces, Cheese Bread",Brazil
Sayaka Hibachi Sushi and Bar,Plano,"Alaskan Tower, Ahi Towe, Beef Tataki, Tuna Tataki, Butterfly Kiss, Pepper Tuna Heaven, Yellowtail Heaven, Japanese Tostada, Tricolor Sushi, Sashimi Plate, Sushi Deluxe, Sashimi Deluxe, Titanic Boat, Love Boat for Two, Chirashi Sushi, Sushi and Sashimi Combo",Japan
"Benihana - Plano, TX",Plano,"Sushi Combination, Hibachi Scallops, Yakisoba, Spicy Hibachi Chicken, Hibachi Steak, Filet Mignon, Lunch Duet, Poke Bowl, Beef Julienne, Hibachi shrimp, Hibachi chicken,",Japan
Eddie V's,Plano,"East Coast Oysters, Gulf Coast Oysters, The Shellfish Tower, Chilled Gulf Shrimp, Royal Ossetra Petrossian Caviar, The Big Eddie, Tableside steak Tartare, Yellowtail Sashimi, Maine Lobster Tacos, Jumbo Lump Crab Cake, Ahi Tuna Tartare",America
North Italia,Plano,"White Truffle Garlic Bread, Arancini, Crispy Eggplant Parmesan, Prosciutto Bruschetta, Wild Shrimp Scampi, Tuna Crudo*, Burrata di Stagione, Zucca Chips, Grilled Bread & Good Olive Oil, Italian Meatballs",Italy
Seasons 52,Plano,"Serrano Ham,Coppa,Chorizo de Cantimpalo,Lomo Iberico,Salchichon,Idiazabal,Tetilla,Serrano Ham,Mahon,Manchego,Murcia al Vino,Brisket Montaditos,Manchego,Mahon,diazabal",Spain
Earls Kitchen and Bar - Legacy West,Plano,"GRILLED SPICY SHRIMP,PEPPER CALAMARI,PEPPER GRILLED GIZZARD,FISHERMAN OKRA WITH CATFISH AND SNAIL,OKRA WITH GOAT,OKRA WITH CATFISH FISH,NKOWBI,ASUN,PEPPER KPOMO,ISI EWU,GRILLED TILAPIA",Africa
Taverna-Legacy West,Plano,"Taverna Focaccia, Chef's Focaccia, Mussels alla Diavola, Meatballs al Sugo, Antipasto Emiliano, Bruschetta al Pomodoro, Squash Zucchini Chips, Squash Zucchini Chips",Italy
Del Frisco's Double Eagle Steak House,Plano,"SEAFOOD TOWER, CAVIAR SERVICE, Hamachi, Petite cold Water Lobster Tail, King Crab, Shrimp Cocktail, Colossal Lump Crab Cocktail, Salmon Poke Roll, Oysters Shucked, Steak Tartare, Tuna Tartare, Pysters Broiled, Shanghai-Style Fried Calamari, Del's Jumbo Lump Crab Cake",America
,Plano,"Serrano Ham,Coppa,Chorizo de Cantimpalo,Lomo Iberico,Salchichon,Idiazabal,Tetilla,Serrano Ham,Mahon,Manchego,Murcia al Vino,Brisket Montaditos,Manchego,Mahon,diazabal",Spain
The Koi Way,Frisco,"WONTON SOUP,the KOI way soup,CHICKEN VEGGIE EGG ROLL,POT STICKER,PORK FRIED WONTON,cheese wonton,CHO CHO BEEF,VEGETABLE SPRING ROLL,sechuan chilli wonton,atomic chicken wing,INDONESIA SOFT NODDLE",Indonesia
TruFire Kitchen and Baar,Frisco,"Vietnamese Pork Roll,Grilled Sate Pork Belly,Grilled Chicken,Grilled Pork,Ham,Stirred Beef Sate,Meat Ball,Fried Eggs,Sardine,Fried Tofu,Egg Rolls,Coconut Juice",Vietnam
Kotta Sushi Lounge,Frisco,"Seaweed Salad, Ika Sansai, Sunomono, Kotta Sashimi Salad, Seared Pepper Tuna Salad, Kotta Sashimi Platter, Six Spices Sashimi, Tuna Tataki, Yellowtail Tataki, Ankimo ""Monk Fish Liver"" Pate",Japan
China Wok,Frisco,"LM1 Vegetable Lo Mein,LM2 Chicken Lo Mein,LM3 Beef Lo Mein,CM1 Vegetable Chow Mein,CM3 Beef Chow Mein,CM4 Shrimp Chow Mein,CM5 House Special Chow Mein,R1 Vegetable Fried Rice,R2 Chicken Fried Rice",China
Noodle Wave,Frisco,"Crab Cream Cheese Rangoon,Crispy Chicken Spring Rolls,Crispy Vegetarian Spring Rolls,Shrimp Blanket,?Herbal Chicken Sriracha Fried Rice,Lunar  Fried Rice,Seafood Fried Rice,Thai Fried Rice,Basil Fried Rice,Curry Fried Rice",Thailand
Perry's Steakhouse and Grille,Frisco,"Classic Avocado Toast,Ham & Cheese,Banana Foster,Chocolate Praline,Jambon Cru Tomato Bruschetta,Charcuterie,Seared Salmon,Spicy Rigatoni,Warm Brie Baguette,Wedge Salad,Lobster Bisque,French Dip,Parisienne Burger,Vegetarian Bourguignon",France
Lombardi Cucina Italiana,Frisco,"Antipasto del Chianti, Clam Pot, Egg Tortello al Tartufo, Wagyu Meatballs, Prime Beef Carpaccio di Manzo, Frittura di Mare, Foie Gras, Wood Grilled Octopus, Greek Salad, Arugala Mista, Buffalo Mozzarella & Pomodoro, Caesar, Soup of the Day, Lobster Bisque",Italy
Mr BahnMi,Frisco,"Vietnamese Pork Roll,Grilled Sate Pork Belly,Grilled Chicken,Grilled Pork,Ham,Stirred Beef Sate,Meat Ball,Fried Eggs,Sardine,Fried Tofu,Egg Rolls,Coconut Juice",Vietnam
Calabar Pot,Frisco,"GRILLED SPICY SHRIMP,PEPPER CALAMARI,PEPPER GRILLED GIZZARD,FISHERMAN OKRA WITH CATFISH AND SNAIL,OKRA WITH GOAT,OKRA WITH CATFISH FISH,NKOWBI,ASUN,PEPPER KPOMO,ISI EWU,GRILLED TILAPIA",Africa
LAW Restaurant,Irving,"WILD ARUGULA, LAW WEDGE, LITTLE GEM, MARKET GREENS, DRY AGED BEEF CHILI, FRIED CALAMARI,JUMBO SHRIMP COCKTAIL, LAW FOCACCIA",America
Pasand Indian Cuisine,Irving,"Samosa, Onion Pakora, MixedVeg-Pakora, Masala Vada Panner Pakora, Chilli Pakora and Gobi Manchuria.Vegetable Korma, Navrathan Korma, Alu Gobi, Chanamasala, Malai Kofta, Bagara Baingan, Okra Fry, Gutti Vankaya Kura, Palak Panner",India
Blaze Brazilian Steakhouse,Irving,"Picanha (Top Sirloin), Jumbo Shrimp Wrapped in Jalape¤o and Bacon, Ribeye, Picanha (Top Sirloin) with Garlic, Bacon Wrapped Jalape¤os, Family Style Sides, Soup of the Day, Farofa, Sauces, Cheese Bread",Brazil
Hugo's Invitados - Las Colinas,Irving,"Ceviche Fresco, Prickly Pear Texas Red Snapper Ceviche, Octopus a la Parrilla, Smoked Salmon Nachos, Barbacoa, Chorizo Hummus, Seared Herb Panela, Veracruz Tuna Tartare, Pork Belly Chicharr¢n, Mexican Avocado Toast",Mexico
Edoko Omakase,Irving,"Crab Cream Cheese Rangoon,Crispy Chicken Spring Rolls,Crispy Vegetarian Spring Rolls,Shrimp Blanket,?Herbal Chicken Sriracha Fried Rice,Lunar  Fried Rice,Seafood Fried Rice,Thai Fried Rice,Basil Fried Rice,Curry Fried Rice",Thailand
Thirsty Lion Gastropub,Irving,"Creamy Queso Dip, California Roll, Spicy Tuna Roll, Bacon Wrapped BBQ Prawns, Hand-Breaded Chicken Tenderloins, Beer Battered Cheese Curds, Grilled Burger Sliders, Spicy Fried Chicken Sliders, Oven Baked Soft Pretzel, Crispy Calamari, Artichoke Spinach Dip",America
